Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2013-06-28,128.97195434570312,129.7598359419742,128.52173629069108,129.1407922500936,160402900
2013-07-01,129.7277069091797,130.62814318677408,129.5025978397811,129.64730555545552,131954800
2013-07-02,129.60704040527344,130.48335821138414,129.0362205738747,129.53467432276025,154863700
2013-07-03,129.66339111328125,130.05733812709994,128.81119072228827,129.0202170720051,75216400
2013-07-05,131.06224060058594,131.1104764873101,129.67942126606837,130.62005785974844,122416900
2013-07-08,131.80992126464844,132.16366745700927,131.11047637272011,131.7375674346254,108092500
2013-07-09,132.7586212158203,132.91941161314907,132.06721146653786,132.63801921718303,119298000
2013-07-10,132.80682373046875,133.2570416368462,132.35660582409133,132.62995065760364,121410100
2013-07-11,134.6157684326172,134.75244087534912,132.7988014783119,134.35045877289508,135592200
2013-07-12,134.6720428466797,135.00970634890982,134.36654478324508,134.5755710653341,104212700
2013-07-15,135.1865997314453,135.37955559059148,134.80873550781888,135.04189203772745,69450600
2013-07-16,134.68006896972656,135.35539586702907,134.3182875795658,135.27499455031844,88702100
2013-07-17,135.0257568359375,135.45185679185914,134.8488837673454,135.19459468050908,92873900
2013-07-18,135.76544189453125,136.08703496196676,135.22678730753807,135.3152238676427,103620100
2013-07-19,136.00665283203125,136.05488873207707,135.315242973821,135.48408089150428,103831700
2013-07-22,136.27195739746094,136.46491325787161,135.8780104494434,136.19960355012785,79428600
2013-07-23,135.98248291015625,136.53722008371116,135.91012908774078,136.513102142906,80829700
2013-07-24,135.48403930664062,136.56134830207597,135.21068217774578,136.5050649242826,112914000
2013-07-25,135.81370544433594,135.93430746950364,135.01778850883812,135.24289756812274,111088600
2013-07-26,135.95840454101562,135.99860520989765,134.68010423621132,135.24287679799417,107814600
2013-07-29,135.540283203125,135.918147251667,135.1543839311626,135.61263701645856,79695000
2013-07-30,135.540283203125,136.09502030704908,135.21870252107578,135.95031268038193,85209600
2013-07-31,135.63682556152344,136.55334439384282,135.45995243006516,135.82173391985822,142388700
2013-08-01,137.20449829101562,137.32508798322377,136.59347780378238,136.66584388662426,110438400
2013-08-02,137.4376983642578,137.4537810856007,136.71413538161477,136.89904374073075,91116700
2013-08-05,137.23666381835938,137.44570232704422,136.95528375534855,137.13215683153507,54072700
2013-08-06,136.4568634033203,137.26887523442383,136.15136529735628,136.97140008799482,87495000
2013-08-07,136.01466369628906,136.2156547554933,135.50817456900842,136.02271118987048,84854700
2013-08-08,136.5131378173828,136.8186359032555,135.8136805486922,136.65784550002965,102181300
2013-08-09,136.11923217773438,136.75437102422453,135.64489605075195,136.3363060350497,91757700
2013-08-12,135.95840454101562,136.1191949490219,135.3715140314079,135.43583264811477,68593300
2013-08-13,136.36032104492188,136.59346518415683,135.39556679383767,136.19953071432715,80806000
2013-08-14,135.66099548339844,136.51319602463064,135.62883002852553,136.29612214058182,79829200
2013-08-15,133.7635498046875,134.60770228886378,133.5303933477577,134.5916318396068,152931800
2013-08-16,133.32139587402344,133.9645697411533,133.05608619380033,133.50630422053487,130868200
2013-08-19,132.46917724609375,133.62688759202553,132.4611297533318,133.16862213529444,96437600
2013-08-20,133.12045288085938,133.61890698081845,132.5415974181534,132.68630515006708,89294400
2013-08-21,132.30039978027344,133.48222860904008,132.00293683273526,132.75061794979882,159530500
2013-08-22,133.50633239746094,133.69928827858018,132.56569547861167,132.57373070667023,101471400
2013-08-23,133.95652770996094,134.12536561063212,133.2731654156292,133.90025658808497,90888900
2013-08-26,133.45806884765625,134.50322485237706,133.36963228723707,134.09319522337853,89702100
2013-08-27,131.31149291992188,133.4580761668891,131.21502112781786,132.13957518220624,158619400
2013-08-28,131.77780151367188,132.24410231571352,131.0863916716822,131.25521731788191,108113000
2013-08-29,131.9867706298828,132.68621539605243,131.3677149045563,131.48831686709687,119200500
2013-08-30,131.56878662109375,132.27627931263345,131.1828870927652,132.26019658759168,134928900
2013-09-03,132.1636505126953,133.12036970096227,131.60891335193426,132.83897737470096,142375100
2013-09-04,133.2570343017578,133.48214324255548,131.95461653464025,132.1957959229826,97389400
2013-09-05,133.4259490966797,133.7796831594427,133.24102843560496,133.33751251410786,63090500
2013-09-06,133.49021911621094,134.24594747652745,132.2360368448435,133.86808329636918,159756500
2013-09-09,134.7685546875,134.84894376602566,133.81987032772204,133.81987032772204,87559300
2013-09-10,135.76544189453125,135.78955984114876,135.27502320077312,135.58053354795655,105847200
2013-09-11,136.19155883789062,136.19155883789062,135.34740606671312,135.5805503353905,94545900
2013-09-12,135.82977294921875,136.32019168789634,135.64486458570755,136.14331855148657,83209000
2013-09-13,136.13528442382812,136.2398037146023,135.66094840304493,135.97449400784495,72727800
2013-09-16,136.9231719970703,137.6708652517778,136.70609817892648,137.60654662908618,106299200
2013-09-17,137.53419494628906,137.5663481243801,137.0437761746195,137.0437761746195,82523300
2013-09-18,139.12608337402344,139.50394773614008,137.14028973227065,137.48598863897953,203460600
2013-09-19,138.8928680419922,139.5682073772615,138.75619558310433,139.50388876116338,146616900
2013-09-20,137.9217987060547,139.22249094193668,137.80869556933962,139.22249094193668,132867100
2013-09-23,137.28353881835938,137.86521550753721,136.84728746513352,137.73596360896497,104616500
2013-09-24,136.96047973632812,137.76836318304854,136.7019634435856,137.2593926668713,106333100
2013-09-25,136.56451416015625,137.32392602609684,136.4433366612569,137.04924881038215,117306500
2013-09-26,137.08975219726562,137.4775328230971,136.5727072537157,136.79083924895008,77146900
2013-09-27,136.45953369140625,136.64534334773532,136.10406316464287,136.4029759588223,99141800
2013-09-30,135.73245239257812,136.1606295036494,135.03767234544597,135.30427528150685,143937000
2013-10-01,136.80690002441406,136.93616425896653,135.7001042934337,135.83744291990226,127160000
2013-10-02,136.67762756347656,136.80689179024884,135.5869930092876,136.00709558263998,113350000
2013-10-03,135.4174041748047,136.48381612173537,134.78725614337174,136.36262622195414,176698000
2013-10-04,136.443359375,136.58069800572014,135.3446380019227,135.52237324810554,96878000
2013-10-07,135.26380920410156,136.08785309906065,135.11839621945097,135.25573481405866,96295000
